large	{'expression': 2}	
dnah5	{'regulates': 2, 'predict': 1, 'mutations': 2, 'linking': 3, 'produced': 2, 'deficiency': 1, 'expressed': 4, 'localize': 1, 'assembly': 3, 'interacts': 2, 'pronounced': 2, 'codes': 1, 'down-regulated': 3, 'interact': 2, 'mislocalized': 2, 'conjugation': 2, 'p.arg1233cys': 2, 'absence': 4, 'methylated': 1, 'linkage': 1, 'expressing': 1, 'affecting': 1, 'expresses': 2, 'affected': 1, 'localization': 4, 'coimmunoprecipitates': 2, 'knockdown': 1, 'loss': 1, 'affect': 1, 'association': 1, 'detection': 1, 'interaction': 2, 'necessary': 2, 'failure': 1, 'deregulation': 1, 'required': 1, 'regulating': 1, 'expression': 2, 'exhibited': 2}	
mical1	{'localizes': 4, 'activated': 1, 'effector': 1, 'decreases': 1, 'absence': 1, 'has': 1, 'alter': 2, 'dependent': 2, 'activation': 15, 'degradation': 1, 'inhibition': 4, 'effects': 1, 'stabilize': 1, 'phosphorylation': 11, 'relocalization': 6, 'release': 1, 'regulated': 1, 'accumulation': 4, 'domain': 5, 'phosphocholination': 1, 'generation': 1, 'reduce': 2, 'deactivation': 6, 'recruitment': 6, 'export': 1, 'mediates': 1, 'interacting': 49, 'associate': 1, 'expressed': 1, 'depletion': 12, 'mediated': 1, 'induced': 1, 'cause': 1, 'supporting': 1, 'recruits': 3, 'auto-inhibited': 1, 'interactions': 12, 'importance': 2, 'competes': 1, 'interaction': 12, 'over-expressed': 2, 'coexpressed': 2, 'reduced': 2, 'expression': 7, 'interact': 2, 'synergizes': 2, 'regulates': 9, '[expression': 1, 'mediator': 2, 'recycling': 2, 'linking': 5, 'inhibits': 1, 'positive': 3, 'cross-linking': 1, 'reduction': 2, 'regulation': 5, 'depolymerization': 1, 'secretion': 1, 'recruited': 1, 'sufficient': 2, 'knockdown': 1, 'link': 2, 'inhibitor': 1, 'inhibit': 3, 'target': 1, 'over-expression': 3, 'facilitating': 1, 'promotes': 4, 'regulator': 6, 'binds': 12, 'depleting': 2, 'mislocalization': 2, 'phosphorylates': 1, 'control': 8, 'associated': 1, 'membranes': 2, 'binding': 16, 'associates': 7, 'regulate': 23, 'interacts': 12, 'linked': 2, 'pruning': 4, 'stimulates': 1, 'inactivation': 7, 'coexpression': 1, 'utilize': 1, 'member': 2, 'complex': 10, 'role': 2, 'serine': 2, 'transfection': 1, 'transported': 1, 'reorganization': 1, 'overexpression': 6, 'bind': 6, 'required': 5, 'localization': 13, 'half-reaction': 1, 'regulating': 1, 'trafficking': 4}	
dnah5	{'regulates': 2, 'predict': 1, 'mutations': 2, 'linking': 3, 'produced': 2, 'deficiency': 1, 'expressed': 4, 'localize': 1, 'assembly': 3, 'interacts': 2, 'pronounced': 2, 'codes': 1, 'down-regulated': 3, 'interact': 2, 'mislocalized': 2, 'conjugation': 2, 'p.arg1233cys': 2, 'absence': 4, 'methylated': 1, 'linkage': 1, 'expressing': 1, 'affecting': 1, 'expresses': 2, 'affected': 1, 'localization': 4, 'coimmunoprecipitates': 2, 'knockdown': 1, 'loss': 1, 'affect': 1, 'association': 1, 'detection': 1, 'interaction': 2, 'necessary': 2, 'failure': 1, 'deregulation': 1, 'required': 1, 'regulating': 1, 'expression': 2, 'exhibited': 2}	
rbfox2	{'control': 1, 'splicing': 2, 'regulates': 6, 'members': 5, 'interact': 10, 'binding': 14, 'bound': 1, 'autoregulation': 1, 'produced': 3, 'immunoprecipitation': 4, 'spliced': 2, 'regulated': 6, 'specificity': 2, 'production': 2, 'regulate': 3, 'interacts': 3, 'localized': 1, 'increase': 2, 'interactor': 2, 'silencers': 1, 'cross-linking': 7, 'interactions': 1, 'reduction': 1, 'expressed': 3, 'member': 2, 'depletion': 3, 'detected': 1, 'belongs': 5, 'affinity': 1, 'deletion': 2, 'activator': 1, 'decreased': 1, 'integration': 1, 'rna-binding': 2, 'associations': 2, 'down-regulation': 1, 'lack': 1, 'affected': 1, 'complex': 8, 'form': 1, 'localization': 3, 'activation': 3, 'effect': 1, 'degradation': 4, 'knockdown': 1, 'regulators': 2, 'mediated': 2, 'involvement': 2, 'enhance': 2, 'accumulate': 1, 'association': 4, 'essential': 1, 'muscle-expressed': 2, 'interaction': 2, 'overexpression': 6, 'colocalize': 1, 'bind': 9, 'increases': 1, 'associate': 4, 'reduced': 3, 'compete': 6, 'antagonize': 2, 'regulation': 4, 'expression': 14, 'silencing': 1, 'activate': 4}	
dnah5	{'regulates': 2, 'predict': 1, 'mutations': 2, 'linking': 3, 'produced': 2, 'deficiency': 1, 'expressed': 4, 'localize': 1, 'assembly': 3, 'interacts': 2, 'pronounced': 2, 'codes': 1, 'down-regulated': 3, 'interact': 2, 'mislocalized': 2, 'conjugation': 2, 'p.arg1233cys': 2, 'absence': 4, 'methylated': 1, 'linkage': 1, 'expressing': 1, 'affecting': 1, 'expresses': 2, 'affected': 1, 'localization': 4, 'coimmunoprecipitates': 2, 'knockdown': 1, 'loss': 1, 'affect': 1, 'association': 1, 'detection': 1, 'interaction': 2, 'necessary': 2, 'failure': 1, 'deregulation': 1, 'required': 1, 'regulating': 1, 'expression': 2, 'exhibited': 2}	
dnai1	{'associated': 1, '[expression': 3, 'localization': 1, 'recognize': 1, 'activation': 1, 'interactions': 1, 'degradation': 1, 'deficiency': 1, 'regulation': 1, 'expression': 1, 'activating': 2}	
mettl21b	{}	
dnai1	{'associated': 1, '[expression': 3, 'localization': 1, 'recognize': 1, 'activation': 1, 'interactions': 1, 'degradation': 1, 'deficiency': 1, 'regulation': 1, 'expression': 1, 'activating': 2}	
npr2	{'respond': 1, 'control': 3, 'requirement': 1, 'regulates': 3, 'membrane-bound': 1, 'activated': 3, 'deficiency': 4, 'activate': 2, 'inhibits': 2, 'expressed': 3, 'enhanced': 3, 'translocate': 2, 'inhibiting': 2, 'reducing': 1, 'activating': 4, 'overexpressing': 3, 'targeting': 1, 'enhancing': 1, 'down-regulated': 1, 'interacts': 2, 'secreted': 1, 'reduction': 2, 'elevated': 1, 'inhibitors': 3, 'regulation': 3, 'expressing': 1, 'secretion': 2, 'decreased': 2, 'induced': 5, 'induction': 12, 'inhibition': 2, 'serine': 3, 'over-activation': 2, 'increased': 5, 'initiated': 2, 'interactions': 3, 'binding': 4, 'activation': 9, 'increases': 1, 'produce': 3, 'loss-of-function': 2, 'juxtaposes': 1, 'properties': 2, 'loss': 3, 'lower': 1, 'interaction': 2, 'overexpression': 1, 'deficient': 9, 'activation-induced': 2, 'phosphorylation': 8, 'binds': 6, 'inhibited': 2, 'regulating': 3, 'positive': 2, 'regulated': 2, 'expression': 13}	
dnai1	{'associated': 1, '[expression': 3, 'localization': 1, 'recognize': 1, 'activation': 1, 'interactions': 1, 'degradation': 1, 'deficiency': 1, 'regulation': 1, 'expression': 1, 'activating': 2}	
zic3	{'stimulators/activators': 2, 'increased': 3, 'induction': 2, 'decreases': 1, 'reduction': 1, 'inhibition': 2, 'expressed': 1, 'expressing': 1, 'release': 1, 'expression': 10, 'reduced': 2, 'upregulation': 2}	
dnai1	{'associated': 1, '[expression': 3, 'localization': 1, 'recognize': 1, 'activation': 1, 'interactions': 1, 'degradation': 1, 'deficiency': 1, 'regulation': 1, 'expression': 1, 'activating': 2}	
gldc	{'binding': 2, 'one': 3, 'detection': 1, 'enhancement': 5, 'enhanced': 2, 'immobilization': 2, 'expressed': 1, 'production': 2, 'performance': 2, 'induced': 2, 'cause': 1, 'complement': 1, 'increased': 1, 'interactions': 2, 'activation': 1, 'determination': 6, 'immunolocalisation': 1, 'response': 4, 'interaction': 5, 'expression': 1, 'modified': 2, 'facilitate': 1, 'reduced': 1}	
ap1b1	{'-binding': 2, 'restore': 5, 'domain': 2, 'activate': 4, 'associated': 3, 'individuals': 3, 'binding': 2, 'alterations': 1, 'abolishes': 4, 'deficiency': 1, 'inhibits': 2, 'expressed': 1, 'enhanced': 2, 'inhibiting': 3, 'expressions': 2, 'interacts': 5, 'mediating': 1, 'targeting': 1, 'exclusion': 2, 'relocation': 4, 'homodimerization': 1, 'inhibitors': 2, 'repression': 4, 'regulation': 4, 'complex': 7, 'activator': 1, 'decreased': 1, 'translocation': 1, 'inserting': 1, 'independent': 1, 'lacking': 1, 'interactions': 2, 'dependent': 1, 'activated': 1, 'activation': 7, 'requires': 3, 'degradation': 2, 'disruption': 2, 'inhibition': 4, 'interaction': 2, 'overexpression': 1, 'knockdown': 2, 'deficient': 1, 'micropatterning': 1, 'phosphorylated': 1, 'recruit': 5, 'reduced': 1, 'binds': 5, 'inhibited': 2, 'bind': 3, 'decrease': 1, 'repressed': 4, 'increase': 1, 'expression': 26, 'silencing': 1}	
pard3	{'regulates': 5, 'deficiency': 1, 'activating': 1, 'mediates': 1, 'stimulates': 1, 'interacted': 1, 'affects': 2, 'reduction': 1, 'inhibitors': 8, 'depletion': 1, 'regulation': 2, 'downregulation': 1, 'synthesis': 1, 'increased': 1, 'localization': 3, 'activation': 4, 'requires': 1, 'degradation': 5, 'disruption': 1, 'inhibition': 6, 'segregation': 3, 'association': 1, 'hh-induced': 1, 'loss': 1, 'over-expression': 2, 'involved': 1, 'phosphorylated': 3, 'phosphorylation': 4, 'inhibited': 3, 'regulating': 2, 'deregulated': 3, 'expression': 23, 'reduced': 1}	
ap1b1	{'-binding': 2, 'restore': 5, 'domain': 2, 'activate': 4, 'associated': 3, 'individuals': 3, 'binding': 2, 'alterations': 1, 'abolishes': 4, 'deficiency': 1, 'inhibits': 2, 'expressed': 1, 'enhanced': 2, 'inhibiting': 3, 'expressions': 2, 'interacts': 5, 'mediating': 1, 'targeting': 1, 'exclusion': 2, 'relocation': 4, 'homodimerization': 1, 'inhibitors': 2, 'repression': 4, 'regulation': 4, 'complex': 7, 'activator': 1, 'decreased': 1, 'translocation': 1, 'inserting': 1, 'independent': 1, 'lacking': 1, 'interactions': 2, 'dependent': 1, 'activated': 1, 'activation': 7, 'requires': 3, 'degradation': 2, 'disruption': 2, 'inhibition': 4, 'interaction': 2, 'overexpression': 1, 'knockdown': 2, 'deficient': 1, 'micropatterning': 1, 'phosphorylated': 1, 'recruit': 5, 'reduced': 1, 'binds': 5, 'inhibited': 2, 'bind': 3, 'decrease': 1, 'repressed': 4, 'increase': 1, 'expression': 26, 'silencing': 1}	
cyth4	{'localization': 2, 'expression': 8, 'expanded': 1, 'binding': 4, 'depends': 2, 'detected': 1, 'inhibited': 2, 'association': 1, 'decreased': 1, 'structures': 2, 'present': 2}	
phf5a	{'-deficient': 2, 'loss': 2, 'regulates': 1, 'increased': 1, 'deficient': 5, 'inactivation': 3, 'inhibitors': 1, 'increase': 1, 'reductions': 2, 'regulation': 1, 'suppressed': 2, 'positive': 3, 'role': 2, 'expression': 5}	
ap1b1	{'-binding': 2, 'restore': 5, 'domain': 2, 'activate': 4, 'associated': 3, 'individuals': 3, 'binding': 2, 'alterations': 1, 'abolishes': 4, 'deficiency': 1, 'inhibits': 2, 'expressed': 1, 'enhanced': 2, 'inhibiting': 3, 'expressions': 2, 'interacts': 5, 'mediating': 1, 'targeting': 1, 'exclusion': 2, 'relocation': 4, 'homodimerization': 1, 'inhibitors': 2, 'repression': 4, 'regulation': 4, 'complex': 7, 'activator': 1, 'decreased': 1, 'translocation': 1, 'inserting': 1, 'independent': 1, 'lacking': 1, 'interactions': 2, 'dependent': 1, 'activated': 1, 'activation': 7, 'requires': 3, 'degradation': 2, 'disruption': 2, 'inhibition': 4, 'interaction': 2, 'overexpression': 1, 'knockdown': 2, 'deficient': 1, 'micropatterning': 1, 'phosphorylated': 1, 'recruit': 5, 'reduced': 1, 'binds': 5, 'inhibited': 2, 'bind': 3, 'decrease': 1, 'repressed': 4, 'increase': 1, 'expression': 26, 'silencing': 1}	
ap1b1	{'-binding': 2, 'restore': 5, 'domain': 2, 'activate': 4, 'associated': 3, 'individuals': 3, 'binding': 2, 'alterations': 1, 'abolishes': 4, 'deficiency': 1, 'inhibits': 2, 'expressed': 1, 'enhanced': 2, 'inhibiting': 3, 'expressions': 2, 'interacts': 5, 'mediating': 1, 'targeting': 1, 'exclusion': 2, 'relocation': 4, 'homodimerization': 1, 'inhibitors': 2, 'repression': 4, 'regulation': 4, 'complex': 7, 'activator': 1, 'decreased': 1, 'translocation': 1, 'inserting': 1, 'independent': 1, 'lacking': 1, 'interactions': 2, 'dependent': 1, 'activated': 1, 'activation': 7, 'requires': 3, 'degradation': 2, 'disruption': 2, 'inhibition': 4, 'interaction': 2, 'overexpression': 1, 'knockdown': 2, 'deficient': 1, 'micropatterning': 1, 'phosphorylated': 1, 'recruit': 5, 'reduced': 1, 'binds': 5, 'inhibited': 2, 'bind': 3, 'decrease': 1, 'repressed': 4, 'increase': 1, 'expression': 26, 'silencing': 1}	
fbxo7	{'domain': 2, 'regulates': 3, 'impacts': 4, 'recognize': 1, 'recycling': 1, 'binding': 18, 'unregulated': 1, 'produced': 1, 'deficiency': 2, 'phosphorylation': 5, 'enhanced': 1, 'sequences': 2, 'proteolysis': 11, 'interacts': 3, 'localized': 1, 'member': 1, 'inactivates': 1, 'phosphorylating': 1, 'interacting': 3, 'requirement': 1, 'up-regulated': 2, 'inactivation': 1, 'interact': 2, 'responsible': 1, 'regulation': 2, 'expressed': 1, 'inhibitors': 3, 'increase': 1, 'depletion': 5, 'reduction': 2, 'complex': 3, 'association': 1, 'expressing': 4, 'down-expression': 3, 'products': 2, 'inhibition': 1, 'translocation': 1, 'phosphorylates': 2, 'transportation': 1, 'increased': 8, 'interactions': 3, 'activated': 6, 'activation': 6, 'induce': 2, 'colonization': 1, 'homo-/hetero-dimerization': 1, 'stabilized': 1, 's327': 1, 'degradation': 23, 'present': 2, 'stability': 1, 'deregulates': 1, 'interaction': 10, 'co-receptor': 1, 'over-expression': 2, 'overexpression': 3, 'bind': 3, 'cycle-regulated': 2, 'phosphorylated': 5, 'identified': 2, 'recognized': 4, 'mediate': 1, 'binds': 7, 'inhibited': 3, 'regulating': 2, 'repressing': 3, 'inhibitor': 4, 'expression': 34, 'reduced': 3}	
ap1b1	{'-binding': 2, 'restore': 5, 'domain': 2, 'activate': 4, 'associated': 3, 'individuals': 3, 'binding': 2, 'alterations': 1, 'abolishes': 4, 'deficiency': 1, 'inhibits': 2, 'expressed': 1, 'enhanced': 2, 'inhibiting': 3, 'expressions': 2, 'interacts': 5, 'mediating': 1, 'targeting': 1, 'exclusion': 2, 'relocation': 4, 'homodimerization': 1, 'inhibitors': 2, 'repression': 4, 'regulation': 4, 'complex': 7, 'activator': 1, 'decreased': 1, 'translocation': 1, 'inserting': 1, 'independent': 1, 'lacking': 1, 'interactions': 2, 'dependent': 1, 'activated': 1, 'activation': 7, 'requires': 3, 'degradation': 2, 'disruption': 2, 'inhibition': 4, 'interaction': 2, 'overexpression': 1, 'knockdown': 2, 'deficient': 1, 'micropatterning': 1, 'phosphorylated': 1, 'recruit': 5, 'reduced': 1, 'binds': 5, 'inhibited': 2, 'bind': 3, 'decrease': 1, 'repressed': 4, 'increase': 1, 'expression': 26, 'silencing': 1}	
cdc42ep1	{'activated': 18, 'effector': 19, 'activates': 5, 'activating': 2, 'regions': 1, 'depletion': 1, 'absence': 3, 'affinity': 2, 'decreased': 5, 'overlaps': 1, 'increased': 2, 'lacking': 2, 'dependent': 2, 'activation': 33, 'knock-down': 1, 'increases': 3, 'inhibition': 15, 'affect': 2, 'implicate': 1, 'loss': 1, 'necessary': 1, 'level': 1, 'deficient': 2, 'ser-71': 2, 'co-localizes': 2, 'phosphorylation': 11, 'activity': 2, 'reduced': 2, 'domain': 8, 'activate': 20, 'recruitment': 9, 'down-regulate': 1, 'targets': 2, 'misregulated': 2, 'interacting': 2, 'expressed': 3, 'inhibitors': 1, 'up-regulated': 1, 'mutation': 1, 'expressing': 2, 'induced': 4, 'induction': 1, 'dysregulation': 1, 'localization': 6, 'suppresses': 2, 'members': 3, 'suppressed': 1, 'phosphorylates': 1, 'involved': 2, 'mediate': 1, 'coexpressed': 1, 'accumulation': 3, 'ipgb': 2, 'decouple': 1, 'expression': 14, 'secrete': 3, 'mimicked': 2, 'regulates': 8, 'modulates': 1, 'presence': 1, 'downregulated': 2, 'bound': 3, 'regulated': 1, 'targeting': 2, 'subvert': 2, 'colocalizes': 2, 'two': 2, 'regulation': 7, 'secretion': 7, 'recruited': 3, 'define': 1, 'controlled': 1, 'co-expressed': 2, 'serine-71': 3, 'knockdown': 6, 'interaction': 9, 'inhibit': 5, 'over-expression': 3, 'deficiency': 1, 'depressed': 1, 'distinguishes': 1, 'phosphorylated': 5, 'promotes': 1, 'regulator': 2, 'binds': 9, 'ligand-activated': 2, 'inhibitor': 2, 'control': 2, 'binding': 33, 'associates': 2, 'depleted': 1, 'regulate': 4, 'interacts': 5, 'overexpressing': 1, 'upregulated': 1, 'inactivation': 1, 'elevated': 3, 'member': 4, 'stimulated': 1, 'complex': 3, 'role': 3, 'downregulation': 1, 'translocation': 3, 'complexed': 1, 'effect': 1, 'suppression': 3, 'exocytosis': 1, 'reorganization': 1, 'overexpression': 5, 'disruption': 1, 'bind': 3, 'required': 6, 'regulating': 5, 'involves': 3, 'redistribution': 3, 'silencing': 1}	
ap1b1	{'-binding': 2, 'restore': 5, 'domain': 2, 'activate': 4, 'associated': 3, 'individuals': 3, 'binding': 2, 'alterations': 1, 'abolishes': 4, 'deficiency': 1, 'inhibits': 2, 'expressed': 1, 'enhanced': 2, 'inhibiting': 3, 'expressions': 2, 'interacts': 5, 'mediating': 1, 'targeting': 1, 'exclusion': 2, 'relocation': 4, 'homodimerization': 1, 'inhibitors': 2, 'repression': 4, 'regulation': 4, 'complex': 7, 'activator': 1, 'decreased': 1, 'translocation': 1, 'inserting': 1, 'independent': 1, 'lacking': 1, 'interactions': 2, 'dependent': 1, 'activated': 1, 'activation': 7, 'requires': 3, 'degradation': 2, 'disruption': 2, 'inhibition': 4, 'interaction': 2, 'overexpression': 1, 'knockdown': 2, 'deficient': 1, 'micropatterning': 1, 'phosphorylated': 1, 'recruit': 5, 'reduced': 1, 'binds': 5, 'inhibited': 2, 'bind': 3, 'decrease': 1, 'repressed': 4, 'increase': 1, 'expression': 26, 'silencing': 1}	
psme1	{'control': 2, 'binding': 2, 'produce': 1, 'produced': 2, 'associates': 2, 'expressions': 2, 'upregulated': 8, 'localized': 2, 'upregulation': 8, 'inactivation': 1, 'potentiated': 1, 'transcription': 1, 'expressed': 9, 'reduction': 3, 'production': 9, 'expressing': 3, 'secretion': 3, 'up-regulate': 2, 'increased': 3, 'activation': 1, 'express': 4, 'effect': 2, 'knockdown': 3, 'inhibition': 2, 'effects': 2, 'impaired': 1, 'loss': 1, 'overexpression': 7, 'blockade': 1, 'deficient': 1, 'bind': 2, 'level': 1, 'inhibited': 1, 'overexpress': 1, 'promoted': 2, 'repressing': 2, 'inhibitor': 1, 'expression': 16, 'silencing': 2, 'secrete': 1, 'up-regulation': 1}	
ap1b1	{'-binding': 2, 'restore': 5, 'domain': 2, 'activate': 4, 'associated': 3, 'individuals': 3, 'binding': 2, 'alterations': 1, 'abolishes': 4, 'deficiency': 1, 'inhibits': 2, 'expressed': 1, 'enhanced': 2, 'inhibiting': 3, 'expressions': 2, 'interacts': 5, 'mediating': 1, 'targeting': 1, 'exclusion': 2, 'relocation': 4, 'homodimerization': 1, 'inhibitors': 2, 'repression': 4, 'regulation': 4, 'complex': 7, 'activator': 1, 'decreased': 1, 'translocation': 1, 'inserting': 1, 'independent': 1, 'lacking': 1, 'interactions': 2, 'dependent': 1, 'activated': 1, 'activation': 7, 'requires': 3, 'degradation': 2, 'disruption': 2, 'inhibition': 4, 'interaction': 2, 'overexpression': 1, 'knockdown': 2, 'deficient': 1, 'micropatterning': 1, 'phosphorylated': 1, 'recruit': 5, 'reduced': 1, 'binds': 5, 'inhibited': 2, 'bind': 3, 'decrease': 1, 'repressed': 4, 'increase': 1, 'expression': 26, 'silencing': 1}	
me1	{'abundance': 3, 'produced': 1, 'regulates': 1, 'suppression': 1, 'overexpression': 3, 'activating': 1, 'binding': 1, 'increase': 2, 'production': 2, 'inhibition': 2, 'enhanced': 5, 'transfer': 1, 'inhibiting': 1, 'inhibitor': 1, 'expression': 10, 'accumulation': 1}	
tex33	{}	
